[2023-05-12 02:22:40] Storing files in experiments/Crnn0/2023-05-12_02-22-05_d02e40fef02811edb95d5cff35c18db0
[2023-05-12 02:22:40] batch_size: 64
[2023-05-12 02:22:40] data:
[2023-05-12 02:22:40]   class_indice_file: data/metadata/class_label_indices.txt
[2023-05-12 02:22:40]   feature: data/dev/feature.csv
[2023-05-12 02:22:40]   label: data/dev/label.csv
[2023-05-12 02:22:40]   stratified: true
[2023-05-12 02:22:40] dataloader_args:
[2023-05-12 02:22:40]   batch_size: 64
[2023-05-12 02:22:40]   num_workers: 1
[2023-05-12 02:22:40] early_stop: 7
[2023-05-12 02:22:40] epochs: 100
[2023-05-12 02:22:40] loss: BceLoss
[2023-05-12 02:22:40] model:
[2023-05-12 02:22:40]   args: {}
[2023-05-12 02:22:40]   type: Crnn0
[2023-05-12 02:22:40] num_workers: 2
[2023-05-12 02:22:40] optimizer:
[2023-05-12 02:22:40]   args:
[2023-05-12 02:22:40]     lr: 0.001
[2023-05-12 02:22:40]   type: AdamW
[2023-05-12 02:22:40] outputpath: experiments/
[2023-05-12 02:22:40] scheduler_args:
[2023-05-12 02:22:40]   factor: 0.1
[2023-05-12 02:22:40]   patience: 3
[2023-05-12 02:22:40] 
[2023-05-12 02:22:40] Running on device cuda
[2023-05-12 02:22:45] AdamW (
[2023-05-12 02:22:45] Parameter Group 0
[2023-05-12 02:22:45]     amsgrad: False
[2023-05-12 02:22:45]     betas: (0.9, 0.999)
[2023-05-12 02:22:45]     capturable: False
[2023-05-12 02:22:45]     differentiable: False
[2023-05-12 02:22:45]     eps: 1e-08
[2023-05-12 02:22:45]     foreach: None
[2023-05-12 02:22:45]     fused: None
[2023-05-12 02:22:45]     lr: 0.001
[2023-05-12 02:22:45]     maximize: False
[2023-05-12 02:22:45]     weight_decay: 0.01
[2023-05-12 02:22:45] )
[2023-05-12 02:22:45] Crnn0(
[2023-05-12 02:22:45]   (bn0): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
[2023-05-12 02:22:45]   (bn1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
[2023-05-12 02:22:45]   (bn2): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
[2023-05-12 02:22:45]   (conv1): Conv2d(1, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
[2023-05-12 02:22:45]   (conv2): Conv2d(16, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
[2023-05-12 02:22:45]   (bigru): GRU(512, 128, batch_first=True, bidirectional=True)
[2023-05-12 02:22:45]   (fc): Linear(in_features=256, out_features=10, bias=True)
[2023-05-12 02:22:45]   (relu): ReLU()
[2023-05-12 02:22:45] )
[2023-05-12 02:22:51] Epoch 1   training_loss: 0.39  val_loss: 0.34  precision: 0.29  recall: 0.06  f1: 0.09
[2023-05-12 02:23:49] Epoch 24   training_loss: 0.07  val_loss: 0.19  precision: 0.75  recall: 0.64  f1: 0.68
[2023-05-12 02:23:51] Epoch 25   training_loss: 0.05  val_loss: 0.18  precision: 0.75  recall: 0.66  f1: 0.69
[2023-05-12 02:23:54] Epoch 26   training_loss: 0.05  val_loss: 0.18  precision: 0.76  recall: 0.66  f1: 0.69
[2023-05-12 02:23:56] Epoch 27   training_loss: 0.05  val_loss: 0.18  precision: 0.76  recall: 0.65  f1: 0.68
[2023-05-12 02:23:59] Epoch 28   training_loss: 0.05  val_loss: 0.18  precision: 0.75  recall: 0.66  f1: 0.69
[2023-05-12 02:24:01] Epoch 29   training_loss: 0.05  val_loss: 0.18  precision: 0.76  recall: 0.65  f1: 0.68
[2023-05-12 02:24:04] Epoch 30   training_loss: 0.04  val_loss: 0.18  precision: 0.76  recall: 0.67  f1: 0.69
[2023-05-12 02:24:06] Epoch 31   training_loss: 0.05  val_loss: 0.18  precision: 0.76  recall: 0.65  f1: 0.69
[2023-05-12 02:24:09] Epoch 32   training_loss: 0.04  val_loss: 0.18  precision: 0.75  recall: 0.65  f1: 0.68
[2023-05-12 02:24:11] Epoch 33   training_loss: 0.04  val_loss: 0.18  precision: 0.75  recall: 0.63  f1: 0.67
[2023-05-12 02:24:14] Epoch 34   training_loss: 0.04  val_loss: 0.18  precision: 0.76  recall: 0.65  f1: 0.69
[2023-05-12 02:24:16] Epoch 35   training_loss: 0.04  val_loss: 0.18  precision: 0.75  recall: 0.66  f1: 0.69
[2023-05-12 02:24:19] Epoch 36   training_loss: 0.04  val_loss: 0.17  precision: 0.76  recall: 0.65  f1: 0.69
[2023-05-12 02:24:21] Epoch 37   training_loss: 0.04  val_loss: 0.17  precision: 0.74  recall: 0.66  f1: 0.69
[2023-05-12 02:24:24] Epoch 38   training_loss: 0.04  val_loss: 0.18  precision: 0.76  recall: 0.66  f1: 0.69
[2023-05-12 02:24:26] Epoch 39   training_loss: 0.04  val_loss: 0.18  precision: 0.74  recall: 0.65  f1: 0.68
[2023-05-12 02:24:28] Epoch 40   training_loss: 0.04  val_loss: 0.18  precision: 0.76  recall: 0.64  f1: 0.68
[2023-05-12 02:24:31] Epoch 41   training_loss: 0.04  val_loss: 0.18  precision: 0.76  recall: 0.65  f1: 0.68
[2023-05-12 02:24:33] Epoch 42   training_loss: 0.04  val_loss: 0.18  precision: 0.74  recall: 0.64  f1: 0.68
[2023-05-12 02:24:36] Epoch 43   training_loss: 0.04  val_loss: 0.18  precision: 0.75  recall: 0.64  f1: 0.67
[2023-05-12 02:24:38] Epoch 44   training_loss: 0.04  val_loss: 0.18  precision: 0.76  recall: 0.66  f1: 0.69
